Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_175.jpg;0;0;1;0;99.66999;85.58897;0.0002355387;44.7721;4.219559E-07
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_228.jpg;0;0;0;0;99.66999;85.58897;0.0002359204;44.7721;6.070839E-08
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_296.jpg;0;0;0;0;99.66999;85.58897;0.0002363391;44.7721;-1.117308E-07
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_363.jpg;0;0;0;0;99.66999;85.58897;0.0002367577;44.7721;-2.8417E-07
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_430.jpg;0;0;0;0;99.66999;85.58897;0.0002373159;44.7721;-5.140932E-07
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_496.jpg;0;0;0;0;99.66999;85.58897;0.0002377551;44.7721;-7.357896E-07
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_564.jpg;0;0;0;0;99.66999;85.58897;0.0002382353;44.7721;-1.056E-06
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_630.jpg;0;0;0;0;99.66999;85.58897;0.0002388346;44.7721;-1.384438E-06
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_696.jpg;0;0;0;0;99.66999;85.58897;0.0002391752;44.7721;-1.647171E-06
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_763.jpg;0;0;0;0;99.66999;85.58897;0.0002393969;44.7721;-1.901684E-06
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_832.jpg;0;0;0;0;99.66999;85.58897;0.0002396595;44.7721;-2.254718E-06
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_897.jpg;0;0.199821;0;0;99.67014;85.58913;0.00501852;44.74113;4.527074E-05
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_45_963.jpg;0;0.4008722;0;0.02395715;99.6716;85.59058;0.04921415;44.61456;0.0001167119
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_030.jpg;0;0.5991426;0;0.03365668;99.675;85.59393;0.1454332;44.4409;0.0003990304
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_097.jpg;0;0.7994313;0;0.06861638;99.6801;85.59893;0.2851258;44.41294;0.0004843691
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_162.jpg;0;0.9991715;0;0.1221275;99.68766;85.60631;0.4759071;44.42278;-0.0007282006
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_230.jpg;0;1;0;0.1770028;99.70219;85.62053;0.7953163;44.56846;-0.0008262122
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_296.jpg;0;1;0;0.2376616;99.71628;85.63438;1.068928;44.75595;-0.002836703
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_363.jpg;0;1;0;0.2787157;99.73167;85.64954;1.301005;44.85995;-0.001950148
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_430.jpg;0;1;0;0.3382692;99.75098;85.66803;1.210749;44.80716;0.0008584209
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_497.jpg;0;1;0;0.4062651;99.76763;85.68447;1.094168;44.90343;-0.0006707081
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_563.jpg;0;1;0;0.47941;99.7879;85.70456;1.070901;45.02195;-0.001302099
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_630.jpg;0;1;0;0.5229746;99.81883;85.7352;1.11615;44.87213;6.484573E-06
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_697.jpg;0;1;0;0.5660068;99.84458;85.76073;1.187138;44.92619;-0.0008020523
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_763.jpg;0;1;0;0.6298852;99.87213;85.78799;1.243572;44.85146;-0.0009494063
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_830.jpg;0;1;0;0.6905394;99.91104;85.82663;1.228927;44.98494;-0.001945077
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_897.jpg;0;1;0;0.7376296;99.94251;85.85786;1.197983;44.99252;-0.0005041568
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_46_963.jpg;0;1;0;0.7882088;99.97666;85.89172;1.195976;45.01692;-0.0009237708
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_030.jpg;0;1;0;0.8511287;100.0258;85.9405;1.213707;45.09073;-0.001033084
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_096.jpg;0;1;0;0.9022899;100.0647;85.97925;1.213398;45.09296;-0.0008363521
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_163.jpg;0;1;0;0.9724861;100.106;86.0203;1.215634;45.08688;-0.0007959229
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_230.jpg;0;1;0;1.015094;100.164;86.07802;1.210551;45.12246;-0.001379739
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_297.jpg;0;1;0;1.059993;100.21;86.12383;1.225456;45.09717;-0.0006227568
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_363.jpg;0;1;0;1.124174;100.2579;86.17155;1.231244;45.03922;-0.0006298301
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_430.jpg;0;1;0;1.169391;100.3247;86.23804;1.22509;44.98829;-0.0005397883
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_496.jpg;0;1;0;1.219303;100.3774;86.29034;1.229631;44.95168;-0.0006156592
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_563.jpg;0;1;0;1.281639;100.4321;86.3446;1.234806;44.92227;-0.0006842984
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_630.jpg;0;1;0;1.329005;100.5082;86.41994;1.237157;44.8965;-0.0007312942
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_696.jpg;0;1;0;1.376976;100.5678;86.4788;1.242265;44.87712;-0.0008712406
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_763.jpg;3.018558;1;0;1.439628;100.6288;86.54015;1.248152;44.9985;-0.001763648
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_830.jpg;6.041558;1;0;1.485901;100.711;86.62679;1.242789;45.59138;0.0001798951
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_896.jpg;3.094186;1;0;1.533134;100.7747;86.69482;1.255105;46.00647;-0.003355362
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_47_963.jpg;0.06766677;1;0;1.593474;100.8406;86.76438;1.267761;46.196;-0.0024465
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_030.jpg;0;1;0;1.64029;100.9321;86.85932;1.262159;46.21691;-0.001050049
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_097.jpg;0;1;0;1.687243;101.0032;86.93291;1.269027;46.20644;-0.001012717
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_163.jpg;0;1;0;1.748261;101.0762;87.00841;1.274362;46.19778;-0.001043676
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_230.jpg;0;1;0;1.794182;101.1765;87.11214;1.280034;46.18154;-0.001056782
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_296.jpg;0;1;0;1.838839;101.2539;87.19218;1.283339;46.17237;-0.001060813
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_363.jpg;1.5165;1;0;1.900056;101.3331;87.27429;1.287646;46.18964;-0.001144612
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_430.jpg;4.51139;1;0;1.944024;101.4397;87.38838;1.282927;46.63633;-0.002598258
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_497.jpg;4.525928;1;0;1.988537;101.5202;87.47765;1.278221;47.203;0.0002455477
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_563.jpg;1.495042;1;0;2.048411;101.6026;87.56927;1.295828;47.59974;-0.003399875
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_630.jpg;0;1;0;2.091547;101.716;87.69349;1.305184;47.70628;-0.001457983
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_696.jpg;0;1;0;2.137252;101.8033;87.78873;1.30674;47.703;-0.001210058
/home/daniel/robotics/RoboND-P01-Search-and-Sample/gathered_dataset/IMG/robocam_2017_10_11_11_39_48_763.jpg;0;1;0;2.196041;101.8925;87.88591;1.310592;47.6949;-0.001212035
